Registration Number,Location Status,Licensee Name,Call Sign,Earth Station Latitude DMS,Earth Station Longitude DMS,Earth Station Latitude Decimal,Earth Station Longitude Decimal,Lower Frequency (MHz),Upper Frequency (MHz),Pointing Azimuth (degrees),Pointing Elevation Angle (degrees),Antenna Gain (dBi),Earth Station Site Elevation (meters),Earth Station Height AGL (meters),Earth Station Height AMSL (meters),GSO Satellite Longitude Decimal Degrees,Use for Tracking Telemetry and Command,Certification Date,Registration Last Updated,Call Sign Last Updated
FSS0001546,Inactive,"MCI COMMUNICATIONS SERVICES, INC.",E930190,"N44 37' 57.27""","W70 41' 55.15""",44.63,-70.7,"3,625.00","4,200.00",239.7,18.8,50.5,268.2,10.4,278.6,-121,FALSE,11/2/2020,11/20/2020 14:38,11/20/2020 14:38
FSS0001549,Inactive,"MCI COMMUNICATIONS SERVICES, INC.",KA221,"N45 51' 46.4""","W122 23' 44.3""",45.86,-122.4,"3,625.00","4,200.00",254.3,6.1,56.3,214.9,19.8,234.7,169,FALSE,11/2/2020,11/20/2020 14:38,11/20/2020 14:38
FSS0001554,Active,SES Americom Inc,E090134,"N21 40' 14.8""","W158 01' 55""",21.67,-158.03,"3,700.00","4,200.00",109.1,33.3,50.7,140.2,6.1,146.3,-111,TRUE,10/27/2023,10/27/2023 9:45,10/27/2023 9:45
FSS0001557,Active,SES Americom Inc,E000313,"N21 40' 12.9""","W158 01' 55.9""",21.67,-158.03,"3,700.00","4,200.00",130.4,54,51.9,134.1,11,145.1,-135,TRUE,10/27/2023,10/27/2023 9:45,10/27/2023 9:45
FSS0001559,Active,SES Americom Inc,E020287,"N21 40' 16.5""","W158 01' 54.2""",21.67,-158.03,"3,700.00","4,200.00",237.4,47.8,51.9,134.1,13,147.1,172,TRUE,10/27/2023,10/27/2023 9:46,10/27/2023 9:46
FSS0001561,Active,SES Americom Inc,E090060,"N21 40' 14""","W158 01' 56""",21.67,-158.03,"3,700.00","4,200.00",136.9,56.7,50.5,139.3,10.1,149.4,-139,TRUE,10/27/2023,10/27/2023 9:46,10/27/2023 9:46
FSS0001563,Active,SES Americom Inc,E960207,"N21 40' 27""","W158 02' 05""",21.67,-158.03,"3,700.00","4,200.00",237.4,47.8,51.9,134.1,11,145.1,172,TRUE,10/27/2023,10/27/2023 9:47,10/27/2023 9:47
FSS0001565,Active,SES Americom Inc,E000696,"N38 47' 03.2""","W77 34' 21.7""",38.78,-77.57,"3,625.00","4,200.00",137.2,35.4,49.3,86.5,9.2,95.7,-47.5,TRUE,10/23/2023,10/23/2023 13:11,10/23/2023 13:11
FSS0001567,Active,SES Americom Inc,E000152,"N38 47' 01.6""","W77 34' 24.3""",38.78,-77.57,"3,625.00","4,200.00",137.3,35.9,50.1,86.5,10,96.5,-47.5,TRUE,10/23/2023,10/23/2023 13:11,10/23/2023 13:11
FSS0001569,Inactive,SES Americom Inc,E980076,"N38 47' 01""","W77 34' 23""",38.78,-77.57,"3,625.00","4,200.00",111.7,16.4,50.1,86.5,9.2,95.7,-20,TRUE,2/5/2020,11/16/2022 11:50,11/16/2022 11:50
