Registration Number,Location Status,Licensee Name,Call Sign,Earth Station Latitude DMS,Earth Station Longitude DMS,Earth Station Latitude Decimal,Earth Station Longitude Decimal,Lower Frequency (MHz),Upper Frequency (MHz),Pointing Azimuth (degrees),Pointing Elevation Angle (degrees),Antenna Gain (dBi),Earth Station Site Elevation (meters),Earth Station Height AGL (meters),Earth Station Height AMSL (meters),GSO Satellite Longitude Decimal Degrees,Use for Tracking Telemetry and Command,Certification Date,Registration Last Updated,Call Sign Last Updated
FSS0001723,Active,"Denali 20020, LLC",E891020,"N48 08' 48.12""","W119 41' 31.2""",48.15,-119.69,"3,700.00","4,200.00",173.7,34.5,47.1,385,8.1,393.1,115,FALSE,9/7/2023,9/7/2023 11:26,9/7/2023 11:26
FSS0001725,Active,"Denali 20020, LLC",E891020,"N48 08' 47.76""","W119 41' 30.84""",48.15,-119.69,"3,700.00","4,200.00",158.1,32.4,45.1,385,5.6,390.6,103,FALSE,9/7/2023,9/7/2023 11:26,9/7/2023 11:26
FSS0001727,Active,"Denali 20020, LLC",E891020,"N48 08' 47.49""","W119 41' 32.31""",48.15,-119.69,"3,700.00","4,200.00",114,11.9,50.6,385,9.4,394.4,61,FALSE,9/7/2023,9/7/2023 11:26,9/7/2023 11:26
FSS0001729,Active,"Denali 20020, LLC",E891020,"N48 08' 48.22""","W119 41' 32.32""",48.15,-119.69,"3,700.00","4,200.00",200.2,32.8,50.6,385,9.4,394.4,135,FALSE,9/7/2023,9/7/2023 11:26,9/7/2023 11:26
FSS0001731,Active,"Denali 20020, LLC",KA337,"N48 08' 45.96""","W119 41' 34.44""",48.15,-119.69,"3,700.00","4,200.00",107.8,6.7,56.9,390.5,18.5,409,53,TRUE,9/7/2023,9/7/2023 11:28,9/7/2023 11:28
FSS0001733,Active,"Denali 20020, LLC",KA20,"N48 08' 48.84""","W119 41' 32.28""",48.15,-119.69,"3,625.00","4,200.00",244.5,12.7,62.4,370,35,405,-177,FALSE,9/7/2023,9/7/2023 11:30,9/7/2023 11:30
FSS0001735,Active,"DENALI 20020, LLC",E000061,"N48 08' 51.36""","W119 41' 33.72""",48.15,-119.69,"3,700.00","4,200.00",181.7,34.7,55.9,385,16.9,401.9,-121,FALSE,9/7/2023,9/7/2023 11:31,9/7/2023 11:31
FSS0001739,Active,"Denali 20020, LLC",WB81,"N41 12' 05.99""","W74 31' 35.5""",41.2,-74.53,"3,700.00","4,200.00",250.1,19.6,54.1,190,18,208,131,TRUE,9/7/2023,9/7/2023 11:32,9/7/2023 11:32
FSS0001741,Active,"Denali 20020, LLC",WB81,"N41 12' 03.39""","W74 31' 32.68""",41.2,-74.53,"3,700.00","4,200.00",165.3,41.2,54.1,190,13.5,203.5,65,FALSE,9/7/2023,9/7/2023 11:32,9/7/2023 11:32
FSS0001743,Active,"Denali 20020, LLC",WB81,"N41 12' 04.16""","W74 31' 33.79""",41.2,-74.53,"3,700.00","4,200.00",216.7,35.3,53.8,190,13,203,-101,FALSE,9/7/2023,9/7/2023 11:32,9/7/2023 11:32
FSS0001745,Active,"Denali 20020, LLC",E960222,"N48 08' 48.47""","W119 41' 30.15""",48.15,-119.69,"3,625.00","4,200.00",163.6,33.4,50.6,385,9.5,394.5,-107.3,FALSE,9/7/2023,9/7/2023 11:34,9/7/2023 11:34
FSS0001747,Active,"Denali 20020, LLC",E140070,"N48 08' 54.24""","W119 42' 01.8""",48.15,-119.7,"3,625.00","4,200.00",192.7,33.9,52.5,390.5,11.5,402,-129,FALSE,9/7/2023,9/7/2023 11:35,9/7/2023 11:35
FSS0001749,Active,"Denali 20020, LLC",E140070,"N48 08' 55.32""","W119 42' 01.8""",48.15,-119.7,"3,625.00","4,200.00",178.6,34.7,52.5,390.5,15.5,406,-118,FALSE,9/7/2023,9/7/2023 11:35,9/7/2023 11:35
FSS0001751,Active,Denali 20020. LLC,E100078,"N48 08' 44.88""","W119 41' 34.8""",48.15,-119.69,"3,700.00","4,200.00",253.5,6.1,55.9,385,17,402,172,FALSE,9/7/2023,9/7/2023 11:33,9/7/2023 11:33
FSS0001753,Active,Denali 20020. LLC,E120128,"N48 08' 47.19""","W119 41' 35.83""",48.15,-119.69,"3,700.00","4,200.00",173.6,34.5,50.6,385,9.5,394.5,114.9,FALSE,9/7/2023,9/7/2023 11:33,9/7/2023 11:33
FSS0001755,Active,Denali 20020. LLC,E920585,"N48 08' 50.28""","W119 41' 32.99""",48.15,-119.69,"3,700.00","4,200.00",253.5,5.8,52.5,390.5,12.8,403.3,172,FALSE,9/7/2023,9/7/2023 11:31,9/7/2023 11:31
FSS0001757,Active,Denali 20020. LLC,E920585,"N48 08' 50.28""","W119 41' 31.92""",48.15,-119.69,"3,700.00","4,200.00",187.1,34.5,47.1,385,6.5,391.5,-125,FALSE,9/7/2023,9/7/2023 11:31,9/7/2023 11:31
FSS0001759,Active,Denali 20020. LLC,E920585,"N48 08' 47.76""","W119 41' 30.84""",48.15,-119.69,"3,700.00","4,200.00",158.1,32.4,47.1,385,6.5,391.5,-95,FALSE,9/7/2023,9/7/2023 11:31,9/7/2023 11:31
FSS0001761,Active,Denali 20020. LLC,E191158,"N48 08' 49.2""","W119 41' 34.8""",48.15,-119.69,"3,700.00","4,200.00",139.2,26.4,47.1,385,6.5,391.5,-87,FALSE,9/7/2023,9/7/2023 11:30,9/7/2023 11:30
FSS0001763,Active,Denali 20020. LLC,E191158,"N48 08' 49.2""","W119 41' 34.44""",48.15,-119.69,"3,700.00","4,200.00",171,34.3,44.2,385,5.5,390.5,-99,FALSE,9/7/2023,9/7/2023 11:30,9/7/2023 11:30
FSS0001765,Active,Denali 20020. LLC,E191159,"N41 12' 03.14""","W74 31' 37.84""",41.2,-74.53,"3,700.00","4,200.00",189.3,41.8,44.3,190,5.1,195.1,-81,FALSE,9/7/2023,9/7/2023 11:27,9/7/2023 11:27
FSS0001767,Active,Denali 20020. LLC,E191159,"N41 12' 03.99""","W74 31' 37.5""",41.2,-74.53,"3,700.00","4,200.00",214.2,36.2,44.1,190,5,195,-99,FALSE,9/7/2023,9/7/2023 11:27,9/7/2023 11:27
FSS0001769,Active,Denali 20020. LLC,E191159,"N41 12' 03.99""","W74 31' 37.49""",41.2,-74.53,"3,700.00","4,200.00",249.3,13.5,46,190,7.5,197.5,-135,FALSE,9/7/2023,9/7/2023 11:27,9/7/2023 11:27
FSS0001771,Active,Denali 20020. LLC,E191159,"N41 12' 03.63""","W74 31' 37.49""",41.2,-74.53,"3,700.00","4,200.00",247.7,15,46,190,7.5,197.5,-133,FALSE,9/7/2023,9/7/2023 11:27,9/7/2023 11:27
FSS0001773,Active,Denali 20020. LLC,E191159,"N41 12' 03.63""","W74 31' 37.49""",41.2,-74.53,"3,700.00","4,200.00",246.1,16.4,46,190,7.5,197.5,-131,FALSE,9/7/2023,9/7/2023 11:27,9/7/2023 11:27
FSS0001775,Active,Denali 20020. LLC,E191159,"N41 12' 03.63""","W74 31' 37.49""",41.2,-74.53,"3,700.00","4,200.00",242.9,19.2,46,190,7.5,197.5,-127,FALSE,9/7/2023,9/7/2023 11:27,9/7/2023 11:27
FSS0001777,Active,Denali 20020. LLC,E191159,"N41 12' 03.63""","W74 31' 37.49""",41.2,-74.53,"3,700.00","4,200.00",241.2,20.6,46,190,7.5,197.5,-125,FALSE,9/7/2023,9/7/2023 11:27,9/7/2023 11:27
FSS0001779,Active,Denali 20020. LLC,E191159,"N41 12' 03.63""","W74 31' 37.49""",41.2,-74.53,"3,700.00","4,200.00",239.4,22,46,190,7.5,197.5,-123,FALSE,9/7/2023,9/7/2023 11:27,9/7/2023 11:27
FSS0001781,Active,Denali 20020. LLC,E191159,"N41 12' 03.63""","W74 31' 37.49""",41.2,-74.53,"3,700.00","4,200.00",237.7,23.4,46,190,7.5,197.5,-121,FALSE,9/7/2023,9/7/2023 11:27,9/7/2023 11:27
FSS0001783,Active,Denali 20020. LLC,E191159,"N41 12' 03.63""","W74 31' 37.49""",41.2,-74.53,"3,700.00","4,200.00",216.7,35.3,46,190,7.5,197.5,-101,FALSE,9/7/2023,9/7/2023 11:27,9/7/2023 11:27
FSS0001785,Active,Denali 20020. LLC,E191159,"N41 12' 03.63""","W74 31' 37.49""",41.2,-74.53,"3,700.00","4,200.00",214.2,36.2,46,190,7.5,197.5,-99,FALSE,9/7/2023,9/7/2023 11:27,9/7/2023 11:27
FSS0001787,Active,Denali 20020. LLC,E191159,"N41 12' 03.63""","W74 31' 37.49""",41.2,-74.53,"3,700.00","4,200.00",203.7,39.4,46,190,7.5,197.5,-91,FALSE,9/7/2023,9/7/2023 11:27,9/7/2023 11:27
FSS0001789,Active,Denali 20020. LLC,E191159,"N41 12' 03.63""","W74 31' 37.49""",41.2,-74.53,"3,700.00","4,200.00",198.1,40.6,46,190,7.5,197.5,-87,FALSE,9/7/2023,9/7/2023 11:27,9/7/2023 11:27
FSS0001791,Active,Denali 20020. LLC,E191159,"N41 12' 03.63""","W74 31' 37.49""",41.2,-74.53,"3,700.00","4,200.00",209.2,37.9,46,190,7.5,197.5,-95,FALSE,9/7/2023,9/7/2023 11:27,9/7/2023 11:27
FSS0001793,Active,Denali 20020. LLC,E191159,"N41 12' 03.63""","W74 31' 37.49""",41.2,-74.53,"3,700.00","4,200.00",211.7,37.1,46,190,7.5,197.5,-97,FALSE,9/7/2023,9/7/2023 11:27,9/7/2023 11:27
FSS0001795,Active,Denali 20020. LLC,E191159,"N41 12' 03.63""","W74 31' 37.49""",41.2,-74.53,"3,700.00","4,200.00",219.1,34.3,46,190,7.5,197.5,-103,FALSE,9/7/2023,9/7/2023 11:27,9/7/2023 11:27
FSS0001797,Active,Denali 20020. LLC,E191159,"N41 12' 03.63""","W74 31' 37.49""",41.2,-74.53,"3,700.00","4,200.00",224,31.9,46,190,7.5,197.5,-107,FALSE,9/7/2023,9/7/2023 11:27,9/7/2023 11:27
FSS0001799,Active,Denali 20020. LLC,E191159,"N41 12' 03.63""","W74 31' 37.49""",41.2,-74.53,"3,700.00","4,200.00",230,28.5,46,190,7.5,197.5,-113,FALSE,9/7/2023,9/7/2023 11:27,9/7/2023 11:27
FSS0001801,Active,Denali 20020. LLC,E191159,"N41 12' 03.63""","W74 31' 37.49""",41.2,-74.53,"3,700.00","4,200.00",231.9,27.4,46,190,7.5,197.5,-115,FALSE,9/7/2023,9/7/2023 11:27,9/7/2023 11:27
FSS0001803,Active,Denali 20020. LLC,E191159,"N41 12' 03.63""","W74 31' 37.49""",41.2,-74.53,"3,700.00","4,200.00",192.3,41.5,46,190,7.5,197.5,-83,FALSE,9/7/2023,9/7/2023 11:27,9/7/2023 11:27
FSS0001805,Active,Denali 20020. LLC,E191159,"N41 12' 03.63""","W74 31' 37.49""",41.2,-74.53,"3,700.00","4,200.00",201,40.1,46,190,7.5,197.5,-89,FALSE,9/7/2023,9/7/2023 11:27,9/7/2023 11:27
FSS0001807,Active,"Denali 20020, LLC",E960222,"N48 08' 47.76""","W119 41' 30.84""",48.15,-119.69,"3,700.00","4,200.00",158.1,32.4,42,385,4,389,-103,FALSE,9/7/2023,9/7/2023 11:34,9/7/2023 11:34
FSS0001809,Active,"Denali 20020, LLC",E960222,"N48 08' 47.76""","W119 41' 30.12""",48.15,-119.69,"3,700.00","4,200.00",132.9,23.5,44.2,385,5.5,390.5,-81,FALSE,9/7/2023,9/7/2023 11:34,9/7/2023 11:34
FSS0001811,Active,"Denali 20020, LLC",E960222,"N48 08' 49.56""","W119 41' 30.84""",48.15,-119.69,"3,700.00","4,200.00",205.2,31.6,47.1,385,6.5,391.5,-139,FALSE,9/7/2023,9/7/2023 11:34,9/7/2023 11:34
FSS0001814,Active,Intelsat License LLC,E000363,"N34 24' 18""","W118 53' 39""",34.41,-118.89,"3,700.00","4,200.00",144.6,43.7,50.5,305,11.1,316.1,-97,TRUE,12/1/2023,12/1/2023 20:18,12/1/2023 20:18
FSS0001817,Active,New Wave Corporation,E040138,"N38 57' 36.25""","W92 22' 09.55""",38.96,-92.37,"3,700.00","4,200.00",134.8,33.9,41.7,228,4.5,232.5,-99,FALSE,11/18/2020,11/30/2023 11:46,11/30/2023 11:46
FSS0001820,Active,"MCI Communications Services, LLC",E000306,"N44 38' 01.4""","W70 41' 53.4""",44.63,-70.7,"3,625.00","4,200.00",104.6,5.6,57.4,268.2,23.8,292,-1,FALSE,10/31/2023,10/31/2023 9:18,10/31/2023 9:18
FSS0001823,Active,"MCI Communications Services, LLC",E990175,"N38 43' 45.04""","W78 39' 25.16""",38.73,-78.66,"3,625.00","4,200.00",193.2,44.3,50.6,295.5,12,307.5,-87,FALSE,10/31/2023,10/31/2023 9:21,10/31/2023 9:21
FSS0001825,Active,Intelsat License LLC,KA264,"N39 35' 56""","W77 45' 21""",39.6,-77.76,"3,700.00","4,200.00",206,40.8,50.1,167.6,9.8,177.4,-95,TRUE,12/1/2023,12/1/2023 21:12,12/1/2023 21:12
FSS0001828,Active,Intelsat License LLC,KA264,"N39 35' 56""","W77 45' 21""",39.6,-77.76,"3,700.00","4,200.00",150.6,39.8,50.1,167.6,9.8,177.4,-58,TRUE,12/1/2023,12/1/2023 21:13,12/1/2023 21:13
FSS0001838,Active,DISH Broadcasting Corporation,E980118,"N41 07' 56""","W104 44' 10.5""",41.13,-104.74,"3,698.30","3,699.70",162.5,41,50,"1,808.30",9,"1,817.30",93,TRUE,10/31/2023,10/31/2023 15:27,10/31/2023 15:27
FSS0001841,Active,DISH Broadcasting Corporation,E950253,"N41 07' 56""","W104 44' 10.5""",41.13,-104.74,"3,698.30","3,699.70",162.5,41,50,"1,808.30",9,"1,817.30",93,TRUE,10/31/2023,10/31/2023 15:27,10/31/2023 15:27
FSS0001859,Inactive,Intelsat License LLC,E040174,"N39 16' 34""","W104 48' 28""",39.28,-104.81,"3,700.00","3,705.00",220.2,35.9,50.2,"2,088.00",11,"2,099.00",-133,TRUE,11/10/2021,11/10/2021 16:40,11/10/2021 16:40
FSS0001861,Active,Intelsat License LLC,E040174,"N39 16' 34""","W104 48' 28""",39.28,-104.81,"3,700.00","3,705.00",235,41.5,50.2,"2,088.00",11,"2,099.00",33,TRUE,12/1/2023,12/1/2023 20:54,12/1/2023 20:54
FSS0001864,Active,Intelsat License LLC,KA71,"N34 24' 22""","W118 53' 37.4""",34.41,-118.89,"3,700.00","4,200.00",136.9,40.2,53.1,305.5,15,320.5,-91,TRUE,12/4/2023,12/4/2023 16:40,12/4/2023 16:40
FSS0001866,Active,Intelsat License LLC,E4132,"N34 24' 19.4""","W118 53' 39.7""",34.41,-118.89,"3,700.00","4,200.00",259.7,6,50.5,305,9.3,314.3,169,TRUE,12/4/2023,12/4/2023 16:24,12/4/2023 16:24
FSS0001868,Active,MX1 Inc,E170080,"N41 27' 49.8""","W75 07' 51.3""",41.46,-75.13,"3,700.00","4,200.00",175.4,41.9,50.4,275.1,13.5,288.6,-20,TRUE,10/31/2023,10/31/2023 9:36,10/31/2023 9:36
FSS0001871,Active,MX1 Inc,E010128,"N41 27' 51""","W75 07' 48""",41.46,-75.13,"3,700.00","4,200.00",155,39,49.9,270,11,281,-58,TRUE,10/31/2023,10/31/2023 9:23,10/31/2023 9:23
FSS0001875,Active,SES Americom Inc.,E202168,"N41 27' 51.8""","W75 07' 50.3""",41.46,-75.13,"3,700.00","4,200.00",133.8,30.6,50.2,273.8,10,283.8,-40.5,TRUE,10/31/2023,10/31/2023 9:30,10/31/2023 9:30
FSS0001877,Active,SES Americom Inc.,E202168,"N41 27' 51.8""","W75 07' 50.3""",41.46,-75.13,"3,700.00","4,200.00",130.7,28.8,50.2,273,10,283,-37.5,TRUE,10/31/2023,10/31/2023 9:30,10/31/2023 9:30
FSS0001879,Active,Intelsat License LLC,E010206,"N33 47' 44""","W117 05' 16""",33.8,-117.09,"3,625.00","3,700.00",207.1,47.1,53.5,548.6,14,562.6,-133,FALSE,12/1/2023,12/1/2023 20:34,12/1/2023 20:34
FSS0001881,Active,SES Americom Inc.,E202168,"N41 27' 51.8""","W75 07' 50.3""",41.46,-75.13,"3,700.00","4,200.00",141.7,34.4,53.8,274.5,15.1,289.6,-47.5,TRUE,10/31/2023,10/31/2023 9:30,10/31/2023 9:30
FSS0001883,Active,SES Americom Inc.,E202168,"N41 27' 51.8""","W75 07' 50.3""",41.46,-75.13,"3,700.00","4,200.00",116.4,18.5,53.8,275,15.1,290.1,-22,TRUE,10/31/2023,10/31/2023 9:30,10/31/2023 9:30
FSS0001885,Active,Intelsat License LLC,E4132,"N34 24' 19.4""","W118 53' 39.7""",34.41,-118.89,"3,700.00","4,200.00",252.7,15.1,50.5,305,9.3,314.3,180,TRUE,12/4/2023,12/4/2023 16:24,12/4/2023 16:24
FSS0001888,Active,SES Americom Inc.,E202169,"N41 27' 52.1""","W75 07' 47.5""",41.46,-75.13,"3,700.00","4,200.00",218.6,34.3,53.4,273,33.1,306.1,-103,TRUE,10/31/2023,10/31/2023 9:31,10/31/2023 9:31
FSS0001890,Active,SES Americom Inc,E202170,"N48 08' 49.2""","W119 41' 44.5""",48.15,-119.7,"3,700.00","4,200.00",155.5,31.8,53.4,381,17.6,398.6,-101,TRUE,10/31/2023,10/31/2023 9:45,10/31/2023 9:45
FSS0001897,Active,Bare Necessites LLC,E555001,"N45 11' 56.81""","W112 42' 46.32""",45.2,-112.71,"3,620.00","3,650.00",170,2,16,"1,633.10",4,"1,637.10",-112.71,TRUE,11/1/2022,11/1/2022 11:24,11/1/2022 11:24
FSS0001900,Active,Bare Necessites LLC,E555001,"N45 14' 20.99""","W112 40' 06.36""",45.24,-112.67,"3,605.00","3,635.00",40,2,16,"1,785.80",5,"1,790.80",-112.67,TRUE,11/1/2022,11/1/2022 11:33,11/1/2022 11:33
FSS0001902,Active,Bare Necessites LLC,E555001,"N45 14' 20.99""","W112 40' 06.36""",45.24,-112.67,"3,645.00","3,675.00",130,2,16,"1,785.80",5,"1,790.80",-112.67,TRUE,11/1/2022,11/1/2022 11:43,11/1/2022 11:43
FSS0001906,Active,Intelsat License LLC,E000363,"N34 24' 17""","W118 53' 39""",34.4,-118.89,"3,700.00","4,200.00",259.6,6.1,50.5,305,11.1,316.1,169,TRUE,12/1/2023,12/1/2023 20:18,12/1/2023 20:18
FSS0001908,Active,Intelsat License LLC,E000363,"N34 24' 17""","W118 53' 39""",34.4,-118.89,"3,700.00","4,200.00",252.6,15.2,50.5,305,11.1,316.1,180,TRUE,12/1/2023,12/1/2023 20:18,12/1/2023 20:18
FSS0001910,Active,Intelsat License LLC,E000363,"N34 24' 17""","W118 53' 39""",34.4,-118.89,"3,700.00","4,200.00",204,47.2,50.5,305,11.1,316.1,-133,TRUE,12/1/2023,12/1/2023 20:27,12/1/2023 20:27
FSS0001912,Active,Intelsat License LLC,E000363,"N34 24' 17""","W118 53' 39""",34.4,-118.89,"3,700.00","4,200.00",194.1,49.1,50.5,305,11.1,316.1,-127,TRUE,12/1/2023,12/1/2023 20:18,12/1/2023 20:18
FSS0001914,Active,Intelsat License LLC,E000363,"N34 24' 17""","W118 53' 39""",34.4,-118.89,"3,700.00","4,200.00",223.4,52,50.5,305,11.1,316.1,-125,TRUE,12/1/2023,12/1/2023 20:22,12/1/2023 20:22
FSS0001916,Active,Intelsat License LLC,E000363,"N34 24' 17""","W118 53' 39""",34.4,-118.89,"3,700.00","4,200.00",187.2,49.7,50.5,305,11.1,316.1,-123,TRUE,12/1/2023,12/1/2023 20:18,12/1/2023 20:18
FSS0001918,Active,Intelsat License LLC,E000363,"N34 24' 17""","W118 53' 39""",34.4,-118.89,"3,700.00","4,200.00",183.7,49.9,50.5,305,11.1,316.1,-121,TRUE,12/1/2023,12/1/2023 20:18,12/1/2023 20:18
FSS0001921,Active,Intelsat License LLC,E000363,"N34 24' 17""","W118 53' 39""",34.4,-118.89,"3,700.00","4,200.00",147.4,44.7,50.5,305,11.1,316.1,-99,TRUE,12/1/2023,12/1/2023 20:18,12/1/2023 20:18
FSS0001923,Active,Intelsat License LLC,E000363,"N34 24' 17""","W118 53' 39""",34.4,-118.89,"3,700.00","4,200.00",144.6,43.6,50.5,305,11.1,316.1,-97,TRUE,12/1/2023,12/1/2023 20:18,12/1/2023 20:18
FSS0001925,Active,Intelsat License LLC,E000363,"N34 24' 17""","W118 53' 39""",34.4,-118.89,"3,700.00","4,200.00",141.9,42.5,50.5,305,11.1,316.1,-95.05,TRUE,12/1/2023,12/1/2023 20:22,12/1/2023 20:22
FSS0001927,Active,Intelsat License LLC,E000363,"N34 24' 17""","W118 53' 39""",34.4,-118.89,"3,700.00","4,200.00",136.9,40.2,50.5,305,11.1,316.1,-91,TRUE,12/1/2023,12/1/2023 20:18,12/1/2023 20:18
FSS0001929,Active,Intelsat License LLC,E000363,"N34 24' 17""","W118 53' 39""",34.4,-118.89,"3,700.00","4,200.00",134.5,38.9,50.5,305,11.1,316.1,-89,TRUE,12/1/2023,12/1/2023 20:18,12/1/2023 20:18
FSS0001931,Active,Intelsat License LLC,E000363,"N34 24' 17""","W118 53' 39""",34.4,-118.89,"3,700.00","4,200.00",105.8,13.2,50.5,305,11.1,316.1,-55.5,TRUE,12/1/2023,12/1/2023 20:18,12/1/2023 20:18
FSS0001933,Active,Intelsat License LLC,E000363,"N34 24' 17""","W118 53' 39""",34.4,-118.89,"3,700.00","4,200.00",104.2,11.1,50.5,305,11.1,316.1,-53,TRUE,12/1/2023,12/1/2023 20:18,12/1/2023 20:18
FSS0001935,Active,Intelsat License LLC,E000363,"N34 24' 17""","W118 53' 39""",34.4,-118.89,"3,700.00","4,200.00",102.3,8.7,50.5,305,11.1,316.1,-50.1,TRUE,12/1/2023,12/1/2023 20:23,12/1/2023 20:23
FSS0001937,Active,Intelsat License LLC,E000363,"N34 24' 17""","W118 53' 39""",34.4,-118.89,"3,700.00","4,200.00",99.3,4.5,50.5,305,11.1,316.1,-45,TRUE,12/1/2023,12/1/2023 20:18,12/1/2023 20:18
FSS0001939,Active,Intelsat License LLC,E000363,"N34 24' 17""","W118 53' 39""",34.4,-118.89,"3,700.00","4,200.00",93.2,4.1,50.5,305,11.1,316.1,-34.5,TRUE,12/1/2023,12/1/2023 20:18,12/1/2023 20:18
FSS0001941,Active,Intelsat License LLC,E000363,"N34 24' 17""","W118 53' 39""",34.4,-118.89,"3,700.00","4,200.00",91.5,6.5,50.5,305,11.1,316.1,-31.5,TRUE,12/1/2023,12/1/2023 20:18,12/1/2023 20:18
FSS0001947,Active,Intelsat License LLC,E030306,"N33 39' 50""","W84 16' 22""",33.66,-84.27,"3,700.00","4,200.00",181.1,60.6,50.2,239.3,11,250.3,-95.05,TRUE,12/1/2023,12/1/2023 19:21,12/1/2023 19:21
FSS0001952,Active,Intelsat License LLC,KA270,"N21 40' 18""","W158 02' 05""",21.67,-158.03,"3,625.00","4,200.00",116.1,41.3,50.1,144.8,9.8,154.6,-121,TRUE,12/1/2023,12/1/2023 21:19,12/1/2023 21:19
FSS0001960,Active,GOONHILLY INC.,E980136,"N34 24' 06""","W119 04' 21.8""",34.4,-119.07,"3,600.00","4,200.00",176,50,55.5,17.7,229.2,246.9,-117,TRUE,11/27/2023,11/27/2023 17:05,11/27/2023 17:05
FSS0001962,Active,GOONHILLY INC.,KA31,"N34 24' 05""","W119 04' 26""",34.4,-119.07,"3,600.00","4,200.00",253.8,13.7,52.8,228.6,15.2,243.8,178.1,TRUE,11/27/2023,11/27/2023 17:14,11/27/2023 17:14
FSS0001964,Active,GOONHILLY INC.,E980137,"N34 24' 06""","W119 04' 21.8""",34.4,-119.07,"3,600.00","4,200.00",176,50,55.2,229.2,17.7,246.9,117,TRUE,11/27/2023,11/27/2023 19:14,11/27/2023 19:14
FSS0001966,Active,GOONHILLY INC.,E990027,"N34 24' 05""","W119 04' 26""",34.4,-119.07,"4,000.00","4,200.00",144.3,43.6,44.2,236.8,4.8,241.6,97,TRUE,11/27/2023,11/29/2023 13:21,11/29/2023 13:21
FSS0001968,Active,GOONHILLY INC.,KB34,"N34 24' 05""","W119 04' 29.4""",34.4,-119.07,"3,600.00","4,200.00",253.5,13.7,52.8,229.2,15.2,244.4,178.1,TRUE,11/27/2023,11/27/2023 19:50,11/27/2023 19:50
FSS0001970,Active,GOONHILLY INC.,KB34,"N34 24' 05""","W119 04' 29.4""",34.4,-119.07,"3,600.00","4,200.00",145.1,43.9,50.4,228.6,11,239.6,-97.6,TRUE,11/27/2023,11/27/2023 19:58,11/27/2023 19:58
FSS0001972,Active,GOONHILLY INC.,KA249,"N34 24' 06""","W119 04' 21.8""",34.4,-119.07,"4,000.00","4,200.00",250.5,17.7,53.2,228.6,13.7,242.3,-177,TRUE,11/27/2023,11/29/2023 13:23,11/29/2023 13:23
FSS0001974,Active,GOONHILLY INC.,E990032,"N41 27' 05.8""","W73 17' 20.6""",41.45,-73.29,"3,600.00","4,200.00",138.5,33,51.5,39.6,12.8,52.4,-43,TRUE,11/27/2023,11/27/2023 20:37,11/27/2023 20:37
FSS0001976,Active,GOONHILLY INC.,E990034,"N41 27' 07""","W73 17' 17.3""",41.45,-73.29,"3,600.00","4,200.00",138.5,33,54,36.6,16.8,53.4,-43,TRUE,11/27/2023,11/27/2023 20:46,11/27/2023 20:46
FSS0001979,Active,GOONHILLY INC.,KA312,"N41 27' 04.5""","W73 17' 00.2""",41.45,-73.28,"4,198.00","4,200.00",235.2,24.9,53.4,36.6,15.1,51.7,-116.8,TRUE,11/27/2023,11/29/2023 13:18,11/29/2023 13:18
FSS0001981,Active,GOONHILLY INC.,WA28,"N41 27' 04.1""","W73 17' 20.9""",41.45,-73.29,"3,600.00","4,200.00",151.5,39.4,52.8,35.7,14.6,50.3,-54,TRUE,11/27/2023,11/27/2023 21:07,11/27/2023 21:07
FSS0001983,Active,GOONHILLY INC.,WA28,"N42 27' 05""","W73 17' 21""",42.45,-73.29,"3,600.00","4,200.00",118,20,52.8,36.6,15.2,51.8,-22,TRUE,11/27/2023,11/27/2023 21:11,11/27/2023 21:11
FSS0001985,Active,GOONHILLY INC.,WA28,"N41 27' 04.5""","W73 17' 21.5""",41.45,-73.29,"3,600.00","4,200.00",216.5,38.4,50.4,35.7,11,46.7,-98.4,TRUE,11/27/2023,11/27/2023 21:16,11/27/2023 21:16
FSS0001993,Active,"Sprint Communications Co., LP",E6241,"N37 45' 40""","W121 47' 53""",37.76,-121.8,"3,625.00","4,200.00",242.4,22.9,55.8,236.2,14.7,250.9,171,FALSE,11/30/2023,11/30/2023 11:07,11/30/2023 11:07
FSS0001995,Active,"Sprint Communications Co., LP",KA232,"N37 45' 40""","W121 47' 53""",37.76,-121.8,"3,625.00","4,200.00",249.2,16.3,56,230.4,18.9,249.3,180,FALSE,11/30/2023,11/30/2023 11:04,11/30/2023 11:04
FSS0001997,Active,"Sprint Communications Co., LP",E6777,"N41 07' 04""","W74 34' 33""",41.12,-74.58,"3,625.00","4,200.00",128.1,27.6,55.8,207.3,13,220.3,18,FALSE,11/30/2023,11/30/2023 11:09,11/30/2023 11:09
FSS0001999,Active,"Sprint Communications Co., LP",E6777,"N41 07' 04""","W74 34' 33""",41.12,-74.58,"3,625.00","4,200.00",128.1,27.6,55.8,207.3,13,220.3,145,FALSE,11/30/2023,11/30/2023 11:09,11/30/2023 11:09
FSS0002004,Active,Intelsat License LLC,E030306,"N33 39' 50""","W84 16' 22""",33.66,-84.27,"3,700.00","4,200.00",227.9,50.7,50.2,239.3,11,250.3,-64.15,TRUE,12/1/2023,12/1/2023 19:49,12/1/2023 19:49
FSS0002007,Active,Intelsat License LLC,E030306,"N33 39' 50""","W84 16' 22""",33.66,-84.27,"3,700.00","4,200.00",240.7,28.6,50.2,239.3,11,250.3,-129,TRUE,12/1/2023,12/1/2023 19:52,12/1/2023 19:52
